event_date,staff_id,name
2017-12-23,1,Staff1
2017-12-23,2,Staff2
2017-12-23,2,Staff2
2017-12-23,3,Staff3
2017-12-23,4,Staff4
2017-12-23,4,Staff4
2017-12-23,5,Staff5
2017-12-23,5,Staff5
2017-12-23,6,Staff6
2017-12-23,6,Staff6
2017-12-23,6,Staff6
2017-12-23,7,Staff7
2017-12-23,7,Staff7
2017-12-23,9,Staff9
2017-12-23,10,Staff10
2017-12-23,10,Staff10
2017-12-23,10,Staff10
2017-12-23,10,Staff10
2017-12-23,11,Staff11
2017-12-23,11,Staff11
2017-12-23,11,Staff11
2017-12-23,11,Staff11
2017-12-23,12,Staff12
2017-12-23,12,Staff12
2017-12-23,12,Staff12
2017-12-23,13,Staff13
2017-12-23,14,Staff14
2017-12-23,14,Staff14
2017-12-23,16,Staff16
2017-12-23,16,Staff16
2017-12-23,18,Staff18
2017-12-23,18,Staff18
2017-12-23,19,Staff19
2017-12-23,19,Staff19
2017-12-23,19,Staff19
2017-12-23,20,Staff20
2017-12-23,20,Staff20
2017-12-23,20,Staff20
2017-12-23,22,Staff22
2017-12-23,22,Staff22
2017-12-23,22,Staff22
2017-12-23,22,Staff22
2017-12-23,23,Staff23
2017-12-23,23,Staff23
2017-12-23,23,Staff23
2017-12-23,25,Staff25
2017-12-23,25,Staff25
2017-12-23,25,Staff25
2017-12-23,26,Staff26
2017-12-23,26,Staff26
2017-12-23,26,Staff26
2017-12-23,26,Staff26
2017-12-23,27,Staff27
2017-12-23,27,Staff27
2017-12-23,27,Staff27
2017-12-23,27,Staff27
2017-12-23,27,Staff27
2017-12-23,27,Staff27
2017-12-23,27,Staff27
2017-12-23,28,Staff28
2017-12-23,28,Staff28
2017-12-23,30,Staff30
2017-12-23,31,Staff31
2017-12-23,32,Staff32
2017-12-23,32,Staff32
2017-12-23,33,Staff33
2017-12-23,33,Staff33
2017-12-23,33,Staff33
2017-12-23,34,Staff34
2017-12-23,35,Staff35
2017-12-23,36,Staff36
2017-12-23,36,Staff36
2017-12-23,36,Staff36
2017-12-23,37,Staff37
2017-12-23,37,Staff37
2017-12-23,38,Staff38
2017-12-23,38,Staff38
2017-12-23,40,Staff40
2017-12-23,41,Staff41
2017-12-23,41,Staff41
2017-12-23,41,Staff41
2017-12-23,41,Staff41
2017-12-23,42,Staff42
2017-12-23,43,Staff43
2017-12-23,43,Staff43
2017-12-23,44,Staff44
2017-12-23,44,Staff44
2017-12-23,47,Staff47
2017-12-23,47,Staff47
2017-12-23,47,Staff47
2017-12-23,48,Staff48
2017-12-23,49,Staff49
2017-12-23,50,Staff50
2017-12-23,52,Staff52
2017-12-23,53,Staff53
2017-12-23,53,Staff53
2017-12-23,55,Staff55
2017-12-23,55,Staff55
2017-12-23,55,Staff55
2017-12-23,55,Staff55
2017-12-23,56,Staff56
2017-12-23,56,Staff56
2017-12-23,56,Staff56
2017-12-23,57,Staff57
2017-12-23,57,Staff57
2017-12-23,58,Staff58
2017-12-23,60,Staff60
2017-12-23,60,Staff60
2017-12-23,60,Staff60
2017-12-23,61,Staff61
2017-12-23,61,Staff61
2017-12-23,63,Staff63
2017-12-23,63,Staff63
2017-12-23,63,Staff63
2017-12-23,63,Staff63
2017-12-23,64,Staff64
2017-12-23,65,Staff65
2017-12-23,65,Staff65
2017-12-23,67,Staff67
2017-12-23,67,Staff67
2017-12-23,67,Staff67
2017-12-23,68,Staff68
2017-12-23,68,Staff68
2017-12-23,68,Staff68
2017-12-23,69,Staff69
2017-12-23,69,Staff69
2017-12-23,69,Staff69
2017-12-23,70,Staff70
2017-12-23,71,Staff71
2017-12-23,71,Staff71
2017-12-23,71,Staff71
2017-12-23,72,Staff72
2017-12-23,76,Staff76
2017-12-23,76,Staff76
